_id,sid_comment,star,time,comment
,1,3,,第1篇評論找不到，得用RAWDATA回溯
,2,2,,第2篇評論找不到，得用RAWDATA回溯
,3,5,,第3篇評論找不到，得用RAWDATA回溯
,4,5,,第4篇評論找不到，得用RAWDATA回溯
,5,4,,第5篇評論找不到，得用RAWDATA回溯
,6,4,,第6篇評論找不到，得用RAWDATA回溯
,7,1,,現場銷售人員推銷的方式很不ok！一肚子火！硬要消費者怎麼購買 奇怪！消費者怎麼買干你什麼事？硬要推銷不是我們要買的東西！真不會看臉色跟拿捏分寸！控制欲讓消費者極度討厭！以後再也不會到現場去買！一肚子火！
,8,4,,第8篇評論找不到，得用RAWDATA回溯
,9,4,,第9篇評論找不到，得用RAWDATA回溯
,10,4,,第10篇評論找不到，得用RAWDATA回溯
,11,5,,有停車場🅿️ 位子不多。1.2樓 都有廁所，環境不大。1.一停好車🈶️員工走出來講解先逛右邊逛完上二樓到左邊再從左邊內側樓梯走下來產品區。很熱情^_^2.到產品區就有人先發半包(1g)的寶貝菌多多試吃。3.就逛逛看到什麼就有人介紹那產品給你聽。4.有位男員工很開心的跟我們介紹牛樟芝，有興趣就聽他慢慢解說，不會強迫客人買，反而告訴我們可以回去比價但要注意⚠️是不是「有子實體」👍如果只有「菌絲體」效果不大。(很認真介紹不知不覺我們也聽了半小時。)(有建議先去檢查身體看目前身體指數之後再吃牛樟芝，吃1-2個月再去檢查看指數的不同)5.第一次在觀光工廠聽別人解說產品不覺得壓力大，不會覺得被狂推銷的感覺，就很像朋友在聊天。6.可以去了解產品的功效性質，還不錯。7.可以加Line訂購，有觀光工廠的優惠，不用在特定跑過去一趟，能幫忙宅配，很方便。8.可以DIY可是要預約，因為太臨時去就沒辦法做Diy。9.FB&google 拍照打卡送一塊肥皂唷！10.全系列商品皆🈶️買二送一，但送的一樣是最低價那個，所以建議購買的時候要算一下。(透過LINE或打服務專線也能享此優惠唷！)
,12,4,,第12篇評論找不到，得用RAWDATA回溯
,13,5,,第13篇評論找不到，得用RAWDATA回溯
,14,3,,第14篇評論找不到，得用RAWDATA回溯
,15,4,,第15篇評論找不到，得用RAWDATA回溯
,16,4,,第16篇評論找不到，得用RAWDATA回溯
,17,4,,第17篇評論找不到，得用RAWDATA回溯
,18,1,,第18篇評論找不到，得用RAWDATA回溯
,19,4,,第19篇評論找不到，得用RAWDATA回溯
,20,3,,第20篇評論找不到，得用RAWDATA回溯
,21,5,,第21篇評論找不到，得用RAWDATA回溯
,22,1,,所謂的博物館沒東西看，場內都是放幾台電視機不停replay，全場都是買自家產品的廣告，還特地駕車過來，完全中伏了！
,23,5,,第23篇評論找不到，得用RAWDATA回溯
,24,4,,第24篇評論找不到，得用RAWDATA回溯
,25,3,,第25篇評論找不到，得用RAWDATA回溯
,26,4,,第26篇評論找不到，得用RAWDATA回溯
,27,5,,第27篇評論找不到，得用RAWDATA回溯
,28,3,,第28篇評論找不到，得用RAWDATA回溯
,29,3,,第29篇評論找不到，得用RAWDATA回溯
,30,4,,第30篇評論找不到，得用RAWDATA回溯
,31,3,,第31篇評論找不到，得用RAWDATA回溯
,32,3,,第32篇評論找不到，得用RAWDATA回溯
,33,5,,第33篇評論找不到，得用RAWDATA回溯
,34,3,,菌種分好壞，好菌無所不在對於看不見的「細菌」，如果你只會想到「不乾淨」，那就大錯特錯了！你可知道「菌」也分好壞？來自媽媽的第一份禮物─母乳裡就蘊含了豐富的腸道菌，大人小孩愛喝的優酪乳及優格也含有豐富的乳酸菌，夏天冰涼下肚的啤酒及熱呼呼、鬆軟的麵包內皆須要酵母菌的幫助，煮菜用的味精也有屬於自己的味精生細菌，更別說香菇、靈芝本身就是一種菌。廣告詞曾提到「滿肚肚是你，我就會健康」，指的就是好菌對於身體，不單是腸道的清道夫，也扮演著「腸道營養師」、「膽固醇殺手」、「過敏捕手」、「免疫建築師」等等多種角色。菌寶貝博物館全台灣第一座以微生物為主題的博物館成立於2011年，由拜寧生物科技集結來自美國和台灣的頂尖微生物科學專家們設置成立。博物館的名稱是取其閩南語「真寶貝」的諧音，表達菌是多麼的珍貴寶貝。創辦的原由，是感概於社會大眾對生活中無所不在的微生物認知不夠，甚至懷抱恐懼與厭惡，館內提供豐富周全的菌知識，以圖文說明的方式，使你結束參觀後，能夠分辨「益生菌(Probiotics)」和「益菌生(Prebiotics)」，知道好菌能用何方法「做」出來。希望能藉由參觀導覽，以輕鬆的方式讓大眾對微生物有更進一步的了解。博物館有兩項世界第一：其一為擁有3500年歷史的牛樟芝雕刻品，其二為牛樟芝子實體培養技術。後者是利用環境和溫度及波長的調控，迅速培養出高品質的牛樟芝，此技術能避免野生牛樟木的大量砍伐。館內也提供多項DIY活動，有女性保養品DIY和罕見的北蟲草接菌培養，非常適合親子一同前往享樂。
,35,3,,第35篇評論找不到，得用RAWDATA回溯
,36,3,,第36篇評論找不到，得用RAWDATA回溯
,37,5,,第37篇評論找不到，得用RAWDATA回溯
,38,4,,第38篇評論找不到，得用RAWDATA回溯
,39,5,,第39篇評論找不到，得用RAWDATA回溯
,40,3,,第40篇評論找不到，得用RAWDATA回溯
,41,5,,第41篇評論找不到，得用RAWDATA回溯
,42,5,,第42篇評論找不到，得用RAWDATA回溯
,43,4,,第43篇評論找不到，得用RAWDATA回溯
,44,5,,第44篇評論找不到，得用RAWDATA回溯
,45,5,,第45篇評論找不到，得用RAWDATA回溯
,46,5,,第46篇評論找不到，得用RAWDATA回溯
,47,5,,第47篇評論找不到，得用RAWDATA回溯
,48,2,,第48篇評論找不到，得用RAWDATA回溯
,49,5,,第49篇評論找不到，得用RAWDATA回溯
,50,5,,第50篇評論找不到，得用RAWDATA回溯
,51,5,,第51篇評論找不到，得用RAWDATA回溯
,52,4,,第52篇評論找不到，得用RAWDATA回溯
,53,5,,第53篇評論找不到，得用RAWDATA回溯
,54,5,,第54篇評論找不到，得用RAWDATA回溯
,55,5,,第55篇評論找不到，得用RAWDATA回溯
,56,5,,第56篇評論找不到，得用RAWDATA回溯
,57,5,,第57篇評論找不到，得用RAWDATA回溯
,58,3,,第58篇評論找不到，得用RAWDATA回溯
,59,3,,第59篇評論找不到，得用RAWDATA回溯
,60,5,,第60篇評論找不到，得用RAWDATA回溯
,61,4,,第61篇評論找不到，得用RAWDATA回溯
,62,3,,第62篇評論找不到，得用RAWDATA回溯
,63,5,,第63篇評論找不到，得用RAWDATA回溯
,64,2,,第64篇評論找不到，得用RAWDATA回溯
,65,5,,第65篇評論找不到，得用RAWDATA回溯
,66,5,,第66篇評論找不到，得用RAWDATA回溯
,67,5,,第67篇評論找不到，得用RAWDATA回溯
,68,5,,第68篇評論找不到，得用RAWDATA回溯
,69,5,,第69篇評論找不到，得用RAWDATA回溯
,70,5,,第70篇評論找不到，得用RAWDATA回溯
,71,5,,第71篇評論找不到，得用RAWDATA回溯
,72,5,,第72篇評論找不到，得用RAWDATA回溯
,73,4,,第73篇評論找不到，得用RAWDATA回溯
,74,4,,第74篇評論找不到，得用RAWDATA回溯
