_id,sid_comment,star,time,comment
,1,pos,3 週前,"門票150可以折扣商品或DIY,和老公買了一雙鞋兩個鞋墊，為了自己的腳健康，走的更長遠，推薦大家來，服務專業又親切~"
,2,pos,3 週前,誤打誤撞來到這個景點，館內有專業的人員帶領解說，從足部骨骼到肌腱，甚至常見足部疾患都一一介紹，我們還做了足部的壓力檢測，平常容易忽略足部健康，在這個館內重新認識步態與足弓的重要性。小孩平時走路有一點墊腳，但去看了好幾家復建科都跟我說沒事，直到今天來館內做檢測，我才知道原來我家小孩有一點扁平足，需要穿矯正鞋。終於找出小孩步態不穩的原因，感謝今天能來到這裡，也謝謝館內人員的專業講解，讓我們更了解自己的足部健康。今天立刻購入2雙矯正鞋與鞋墊，雖然一時間還穿不習慣，但期待能改善孩子的扁平足問題，讓她能開心走路❤
,3,3,6 個月前,來到宜蘭，這是一個室內的參觀地點，裡面分了很多的區域， 但說實在的此地點空間並不是很大，停車場是免費停車，但是如果參觀每個人150元，可抵館內消費，個人感覺有點貴，本人此次是使用住宿所提供的免費參觀券到此參觀，透過足鞋知識館的導覽，能更了解自己雙腳與身體的關聯， 此處有拉筋舒活體驗區，足鞋知識館，DIY體驗區，足鞋製程觀摩走廊，足鞋健康課程講座，電腦足壓免費檢測，歡樂森林遊樂區，積木遊戲區， 在此可認識你的雙腳，重視足部健康，正確買鞋與穿鞋，讓您穿出健康
,4,pos,1 個月前,一個關心你足下問題的觀光工廠，老闆是復建科的專門復健師。有經過榮總認證過的腳板掃描檢驗機，幫您重要的雙腳解決舉凡走路、因腳的問題所產生要、背、頸、肩酸痛的問題。因為個人職業需要走動，但因為長時間對自己足部健康認知不全，透過一雙看似簡單確有極深度足部健康的鞋墊，矯正走路姿勢並平均承受身體重量，讓自己更健康，走路更暢快。檢測機結果可以解決足下問題；如果是因為足下問題可以透過鞋墊的矯正走路及酸痛問題，這一雙鞋墊價高又何妨，可以用很久確保足部健康，其實是很好很對的事。最近館內女性運動鞋特價（千元有找的價格）、男性的皮鞋（雖無花俏造型，L牌的休閒鞋都要四千多）現特價1500元有找，其實是划算的。健康無價，找一雙關心自己足部健康的鞋墊、鞋子，千萬別輕忽了。
,5,pos,1 天前,服務親切，專業，指導細心，可以在來！讚👍！
,6,pos,10 個月前,導覽解說服務態度親切專業，商品有品質，工廠外停車場位子有限，門票150元，可全額抵消費或是館場內DIY，這裡是可以停留一兩個小時的室內行程。
,7,pos,2 週前,來矯正小孩的腳，下歪上就會歪，越小矯正越好
,8,pos,2 週前,可以測自己足壓 更了解自己的腳非常棒的景點 特別是藉此注意到孩子足弓發展狀況是最大收穫
,9,pos,4 週前,健康走，走健康! 全家大小的好去處。 詳細的導覽說明，才知道足部對身體的健康影響。 是親子共遊的好去處!
,10,pos,1 個月前,預約到訪，導覽人員及門市小姐都很親切專業，充分了解足部知識，足弓墊也很舒適！
,11,pos,1 個月前,導覽人員很親切，解說的內容很仔細，簡單易懂，每個人還能測量自己的腳是否為扁平足或其他問題，不錯
,12,pos,2 週前,導覽說明很清楚，服務人員很有禮，有耐心說明，值得來看看哦！
